Country,Clicks,Impressions,CTR,Position
Morocco,246,7096,3.47%,5.6
France,9,549,1.64%,12.38
Belgium,7,99,7.07%,6.46
United States,4,2099,0.19%,7.64
Germany,3,164,1.83%,8.49
United Kingdom,2,323,0.62%,8.88
Australia,2,20,10%,8.05
Canada,1,188,0.53%,5.98
Spain,1,187,0.53%,7.18
China,1,96,1.04%,6.28
Netherlands,1,89,1.12%,7.89
Italy,1,77,1.3%,7.21
Ukraine,1,35,2.86%,8.71
Western Sahara,1,32,3.12%,4.41
Russia,1,26,3.85%,5.88
Hungary,1,13,7.69%,5.85
Brazil,0,250,0%,6.13
India,0,106,0%,8.21
Argentina,0,91,0%,6.67
Indonesia,0,70,0%,6.6
Colombia,0,62,0%,5.79
Turkey,0,62,0%,7.68
South Korea,0,52,0%,7.62
Algeria,0,50,0%,7.06
Singapore,0,46,0%,8.02
Mexico,0,42,0%,7.4
Philippines,0,38,0%,6.84
United Arab Emirates,0,36,0%,6.44
Vietnam,0,35,0%,9.23
Malaysia,0,33,0%,7.03
Chile,0,33,0%,7.33
Switzerland,0,30,0%,6.37
Bangladesh,0,29,0%,7.1
Portugal,0,28,0%,6.07
Peru,0,27,0%,6.74
Ecuador,0,24,0%,6.12
Poland,0,23,0%,9.3
Japan,0,22,0%,11.27
Romania,0,21,0%,8.05
Saudi Arabia,0,19,0%,8.42
Egypt,0,18,0%,8
Thailand,0,17,0%,7.71
Sweden,0,16,0%,6.56
Norway,0,16,0%,7.19
Taiwan,0,16,0%,9.38
Greece,0,15,0%,6.2
South Africa,0,14,0%,7.86
Pakistan,0,14,0%,15.5
Ireland,0,13,0%,7.54
Iraq,0,13,0%,8.54
Israel,0,13,0%,10
Denmark,0,13,0%,10.15
Lithuania,0,12,0%,5.92
Bulgaria,0,12,0%,9.33
Czechia,0,12,0%,9.58
Tunisia,0,11,0%,6.45
Serbia,0,11,0%,8.45
Venezuela,0,10,0%,5.5
Paraguay,0,9,0%,5.11
Hong Kong,0,9,0%,7
Iran,0,9,0%,7.56
Bosnia & Herzegovina,0,9,0%,7.67
Senegal,0,8,0%,6.38
Madagascar,0,8,0%,7.62
Austria,0,8,0%,8.88
Slovakia,0,8,0%,9.25
Luxembourg,0,7,0%,5.14
Qatar,0,7,0%,8.14
Trinidad & Tobago,0,6,0%,5.83
Albania,0,6,0%,6.5
Lebanon,0,6,0%,9
Mauritania,0,5,0%,4.8
Moldova,0,5,0%,9.8
Palestine,0,5,0%,11
Yemen,0,5,0%,43.6
Uzbekistan,0,4,0%,4.5
Dominican Republic,0,4,0%,5
Macedonia,0,4,0%,5.5
Latvia,0,4,0%,6.25
Bahrain,0,4,0%,6.75
El Salvador,0,4,0%,7
New Zealand,0,4,0%,7.25
Puerto Rico,0,4,0%,8
Belarus,0,4,0%,8.25
Georgia,0,4,0%,8.25
Costa Rica,0,4,0%,8.5
Kazakhstan,0,4,0%,9.5
Finland,0,4,0%,12.25
Nigeria,0,4,0%,14.25
Unknown Region,0,3,0%,3.67
Guatemala,0,3,0%,4.67
Kenya,0,3,0%,4.67
Uruguay,0,3,0%,5
Côte d’Ivoire,0,3,0%,6.33
Honduras,0,3,0%,6.33
Tanzania,0,3,0%,6.33
Azerbaijan,0,3,0%,7
Barbados,0,3,0%,7.33
Estonia,0,3,0%,8
Seychelles,0,3,0%,8
Cambodia,0,3,0%,8.67
Croatia,0,3,0%,10.33
Libya,0,3,0%,11.67
Zimbabwe,0,3,0%,14.33
Zambia,0,3,0%,14.67
Mongolia,0,2,0%,1
Guinea,0,2,0%,3
Panama,0,2,0%,5.5
Kyrgyzstan,0,2,0%,6
Nepal,0,2,0%,6
Oman,0,2,0%,6
Jordan,0,2,0%,6.5
Rwanda,0,2,0%,6.5
Slovenia,0,2,0%,7
Armenia,0,2,0%,8
Ethiopia,0,2,0%,9.5
Mali,0,2,0%,9.5
Jamaica,0,2,0%,11
Laos,0,2,0%,11
Anguilla,0,1,0%,2
Benin,0,1,0%,2
Cameroon,0,1,0%,2
Congo - Brazzaville,0,1,0%,2
Greenland,0,1,0%,2
Sri Lanka,0,1,0%,2
Myanmar (Burma),0,1,0%,2
Afghanistan,0,1,0%,3
Bermuda,0,1,0%,3
Monaco,0,1,0%,4
Sudan,0,1,0%,4
Syria,0,1,0%,4
Liberia,0,1,0%,5
Nicaragua,0,1,0%,5
Bahamas,0,1,0%,6
Cuba,0,1,0%,6
Malta,0,1,0%,6
Bolivia,0,1,0%,7
Curaçao,0,1,0%,8
Iceland,0,1,0%,8
Aruba,0,1,0%,10
Botswana,0,1,0%,10
Cyprus,0,1,0%,10
Dominica,0,1,0%,10
Martinique,0,1,0%,10
Brunei,0,1,0%,12
Kosovo,0,1,0%,13
Uganda,0,1,0%,16
Bhutan,0,1,0%,18
Guam,0,1,0%,19
Liechtenstein,0,1,0%,20
Djibouti,0,1,0%,56
