Date,Clicks,Impressions,CTR,Position
2025-12-20,0,0,,
2025-12-21,0,3,0%,2.3
2025-12-22,1,13,7.69%,3
2025-12-23,1,13,7.69%,7
2025-12-24,0,9,0%,5.2
2025-12-25,0,10,0%,4.1
2025-12-26,1,6,16.67%,3
2025-12-27,2,9,22.22%,4.7
2025-12-28,0,12,0%,4.8
2025-12-29,1,12,8.33%,4.2
2025-12-30,0,8,0%,4.4
2025-12-31,0,4,0%,6
2026-01-01,2,15,13.33%,2.7
2026-01-02,0,4,0%,3.2
2026-01-03,1,6,16.67%,5.3
2026-01-04,0,1,0%,4
2026-01-05,3,10,30%,4.8
2026-01-06,1,10,10%,3.9
2026-01-07,0,12,0%,3.6
2026-01-08,0,17,0%,3.9
2026-01-09,1,18,5.56%,4
2026-01-10,0,10,0%,4.8
2026-01-11,0,14,0%,4.7
2026-01-12,0,15,0%,4.2
2026-01-13,1,15,6.67%,3.3
2026-01-14,0,5,0%,3.8
2026-01-15,1,11,9.09%,4.1
2026-01-16,1,8,12.5%,2.6
2026-01-17,1,10,10%,3.5
2026-01-18,0,7,0%,4.6
2026-01-19,0,3,0%,8.7
2026-01-20,2,20,10%,4.3
2026-01-21,2,11,18.18%,4.2
2026-01-22,0,10,0%,4.6
2026-01-23,0,10,0%,3
2026-01-24,1,11,9.09%,3.5
2026-01-25,0,12,0%,3.3
2026-01-26,2,12,16.67%,4.3
2026-01-27,69,1816,3.8%,3.6
2026-01-28,24,735,3.27%,3.6
2026-01-29,3,176,1.7%,5.6
2026-01-30,6,315,1.9%,3.8
2026-01-31,5,184,2.72%,4
2026-02-01,4,171,2.34%,4.2
2026-02-02,2,129,1.55%,4.2
2026-02-03,5,115,4.35%,3.5
2026-02-04,5,79,6.33%,4.9
2026-02-05,0,74,0%,3.7
2026-02-06,5,78,6.41%,4.9
2026-02-07,1,80,1.25%,3.9
2026-02-08,2,80,2.5%,4
2026-02-09,2,68,2.94%,4.1
2026-02-10,1,68,1.47%,4.5
2026-02-11,3,66,4.55%,4.6
2026-02-12,4,61,6.56%,4.5
2026-02-13,5,95,5.26%,4.7
2026-02-14,3,68,4.41%,6.7
2026-02-15,12,124,9.68%,7
2026-02-16,10,335,2.99%,7.2
2026-02-17,2,412,0.49%,9.2
2026-02-18,10,385,2.6%,9.4
2026-02-19,6,368,1.63%,8.9
2026-02-20,10,395,2.53%,9.4
2026-02-21,6,414,1.45%,9.4
2026-02-22,6,415,1.45%,9
2026-02-23,6,637,0.94%,8.7
2026-02-24,7,591,1.18%,8.7
2026-02-25,7,628,1.11%,7.8
2026-02-26,7,686,1.02%,8.5
2026-02-27,7,777,0.9%,7.7
2026-02-28,5,720,0.69%,8.8
2026-03-01,7,1131,0.62%,6.8
